neighbourhood_cleansed,room_type,crime_count,price,number_of_reviews,review_scores_rating 
Loop,Entire home/apt,64,124.0,0,
Near West Side,Entire home/apt,60,129.0,0,
Loop,Entire home/apt,63,123.0,1,5.0
Lincoln Park,Shared room,5,35.0,1,4.0
Irving Park,Entire home/apt,30,98.0,1,5.0
Lower West Side,Private room,67,100.0,32,4.81
Rogers Park,Entire home/apt,28,190.0,64,4.95
Near South Side,Entire home/apt,55,156.0,0,
West Town,Entire home/apt,60,99.0,5,4.8
Lincoln Park,Entire home/apt,10,196.0,98,4.91
South Shore,Entire home/apt,169,72.0,9,4.67
Lower West Side,Entire home/apt,66,98.0,5,5.0
Avondale,Entire home/apt,34,146.0,19,5.0
Logan Square,Entire home/apt,65,107.0,2,5.0
Lincoln Park,Entire home/apt,18,218.0,117,4.7
Grand Boulevard,Entire home/apt,104,117.0,1,5.0
West Town,Entire home/apt,35,102.0,136,4.74
East Garfield Park,Entire home/apt,380,83.0,39,4.56
West Town,Entire home/apt,35,123.0,2,5.0
Near South Side,Entire home/apt,38,194.0,57,4.88
East Garfield Park,Entire home/apt,202,274.0,60,4.98
West Town,Entire home/apt,41,306.0,142,5.0
Loop,Entire home/apt,48,136.0,1,5.0
Near North Side,Entire home/apt,69,139.0,0,
Near West Side,Private room,121,50.0,1,5.0
Avondale,Entire home/apt,37,159.0,49,5.0
Portage Park,Private room,26,75.0,0,
Rogers Park,Entire home/apt,34,65.0,60,4.73
West Ridge,Entire home/apt,31,101.0,76,4.67
Portage Park,Entire home/apt,11,69.0,43,4.77
Portage Park,Entire home/apt,12,66.0,45,4.64
Rogers Park,Entire home/apt,32,70.0,70,4.7
Near North Side,Entire home/apt,56,229.0,120,4.91
Grand Boulevard,Entire home/apt,90,546.0,35,4.86
Douglas,Private room,53,75.0,12,4.5
Logan Square,Entire home/apt,24,249.0,0,
Near South Side,Entire home/apt,52,160.0,3,5.0
Portage Park,Entire home/apt,26,115.0,5,5.0
Douglas,Private room,71,45.0,55,4.75
Loop,Entire home/apt,48,151.0,1,4.0
East Side,Private room,26,26.0,15,4.53
Englewood,Entire home/apt,189,73.0,53,4.6
Near West Side,Entire home/apt,60,298.0,69,4.94
Edgewater,Entire home/apt,20,220.0,102,4.97
Avondale,Private room,38,165.0,34,5.0
Loop,Entire home/apt,51,72.0,0,
Near North Side,Entire home/apt,69,134.0,0,
Near West Side,Entire home/apt,175,114.0,5,5.0
West Town,Entire home/apt,36,143.0,173,4.9
Logan Square,Entire home/apt,71,97.0,100,4.85
Logan Square,Entire home/apt,38,105.0,4,5.0
South Chicago,Shared room,148,29.0,2,5.0
Irving Park,Entire home/apt,38,119.0,8,4.63
South Shore,Entire home/apt,234,189.0,21,4.95
Near North Side,Private room,66,103.0,170,4.89
Irving Park,Entire home/apt,35,118.0,57,4.63
Lake View,Entire home/apt,20,65.0,29,4.62
Near North Side,Entire home/apt,69,136.0,0,
Near North Side,Entire home/apt,69,139.0,0,
Humboldt Park,Entire home/apt,177,115.0,95,4.88
Lake View,Entire home/apt,10,85.0,93,4.86
Loop,Entire home/apt,51,95.0,0,
Edgewater,Entire home/apt,22,186.0,23,4.96
West Town,Entire home/apt,92,149.0,53,4.87
West Town,Entire home/apt,44,72.0,43,4.95
Near North Side,Entire home/apt,44,2743.0,0,
Douglas,Entire home/apt,73,135.0,10,5.0
West Town,Entire home/apt,47,1371.0,15,5.0
Edgewater,Entire home/apt,19,190.0,30,4.97
Lake View,Entire home/apt,15,319.0,58,4.76
Lower West Side,Entire home/apt,68,104.0,61,4.92
Near West Side,Entire home/apt,47,194.0,40,4.83
Near North Side,Entire home/apt,56,123.0,136,4.82
Lake View,Entire home/apt,8,101.0,84,4.94
Lower West Side,Entire home/apt,72,110.0,84,4.77
West Ridge,Entire home/apt,25,160.0,1,5.0
Near West Side,Private room,138,29.0,4,5.0
West Ridge,Entire home/apt,23,225.0,28,5.0
Near South Side,Entire home/apt,38,230.0,24,4.92
Near South Side,Entire home/apt,38,205.0,16,4.88
Loop,Entire home/apt,51,113.0,0,
West Town,Entire home/apt,23,306.0,65,4.75
Grand Boulevard,Private room,108,83.0,1,5.0
Lake View,Entire home/apt,19,325.0,24,5.0
Near North Side,Entire home/apt,55,94.0,127,4.87
Lake View,Entire home/apt,7,58.0,74,4.73
Lake View,Entire home/apt,7,66.0,99,4.61
Lake View,Entire home/apt,10,313.0,60,4.87
Humboldt Park,Entire home/apt,316,75.0,4,5.0
South Chicago,Private room,137,35.0,6,4.0
Avondale,Entire home/apt,30,189.0,40,5.0
Avondale,Entire home/apt,27,90.0,49,4.96
Jefferson Park,Entire home/apt,5,95.0,15,4.93
Uptown,Entire home/apt,18,58.0,120,4.59
Near North Side,Entire home/apt,47,178.0,0,
Near North Side,Entire home/apt,69,137.0,0,
Portage Park,Entire home/apt,13,58.0,150,4.8
Chatham,Entire home/apt,195,205.0,0,
Norwood Park,Entire home/apt,1,399.0,1,5.0
Lower West Side,Entire home/apt,69,77.0,148,4.8
Logan Square,Entire home/apt,73,178.0,74,4.95
Lincoln Square,Entire home/apt,20,107.0,16,5.0
Loop,Entire home/apt,55,176.0,4,5.0
West Town,Entire home/apt,73,643.0,16,5.0
West Lawn,Private room,32,47.0,1,5.0
West Town,Entire home/apt,154,105.0,104,4.79
Belmont Cragin,Entire home/apt,47,79.0,17,4.88
Lower West Side,Entire home/apt,73,133.0,27,4.85
Chatham,Entire home/apt,211,205.0,0,
East Side,Private room,21,24.0,9,4.11
East Side,Private room,24,22.0,6,4.17
East Side,Private room,25,40.0,6,5.0
Grand Boulevard,Entire home/apt,106,118.0,3,5.0
Jefferson Park,Entire home/apt,5,65.0,91,4.68
Logan Square,Entire home/apt,51,131.0,56,4.82
Loop,Entire home/apt,56,169.0,0,
Loop,Entire home/apt,54,120.0,1,5.0
Loop,Entire home/apt,48,97.0,0,
Near South Side,Entire home/apt,52,292.0,42,4.93
West Town,Entire home/apt,26,134.0,81,4.83
Near West Side,Entire home/apt,59,296.0,42,4.93
Near West Side,Entire home/apt,59,320.0,30,4.8
West Ridge,Private room,42,39.0,47,4.74
Near North Side,Entire home/apt,63,339.0,120,4.76
Chatham,Entire home/apt,208,374.0,8,4.0
Bridgeport,Private room,38,306.0,26,4.35
Near West Side,Entire home/apt,59,377.0,45,4.78
Near West Side,Entire home/apt,59,314.0,40,4.83
South Shore,Private room,144,888.0,0,
Near West Side,Entire home/apt,59,344.0,38,4.79
South Shore,Private room,145,888.0,0,
South Shore,Private room,146,888.0,0,
South Shore,Private room,144,59.0,0,
Near North Side,Entire home/apt,55,105.0,124,4.85
Edgewater,Entire home/apt,21,98.0,0,
Armour Square,Private room,44,48.0,86,4.44
Avondale,Entire home/apt,36,169.0,7,5.0
Uptown,Private room,21,111.0,43,4.95
Near South Side,Entire home/apt,40,164.0,39,4.74
Near South Side,Entire home/apt,37,121.0,78,4.63
Lake View,Entire home/apt,17,200.0,39,4.92
Logan Square,Entire home/apt,28,169.0,7,5.0
East Garfield Park,Entire home/apt,220,82.0,26,4.54
Grand Boulevard,Entire home/apt,107,131.0,97,4.99
Near South Side,Entire home/apt,38,229.0,51,4.78
Lake View,Entire home/apt,7,58.0,75,4.45
Near South Side,Private room,53,57.0,132,4.4
Near West Side,Entire home/apt,166,205.0,0,
Logan Square,Entire home/apt,27,288.0,45,4.87
Logan Square,Entire home/apt,29,288.0,56,4.79
Loop,Entire home/apt,51,96.0,0,
Armour Square,Entire home/apt,46,201.0,55,4.82
Logan Square,Entire home/apt,26,205.0,25,4.96
Ohare,Entire home/apt,1,301.0,35,5.0
Lincoln Square,Entire home/apt,15,63.0,68,4.74
Lincoln Square,Entire home/apt,18,60.0,203,4.7
Rogers Park,Entire home/apt,23,145.0,27,4.74
South Chicago,Private room,177,33.0,60,4.57
Logan Square,Entire home/apt,34,194.0,84,4.85
Mckinley Park,Entire home/apt,45,252.0,67,4.63
Edgewater,Entire home/apt,21,92.0,72,4.99
West Town,Entire home/apt,146,181.0,33,4.97
Near South Side,Entire home/apt,38,104.0,89,4.72
West Town,Entire home/apt,44,714.0,39,4.95
West Town,Entire home/apt,44,144.0,90,4.96
West Town,Entire home/apt,36,67.0,34,4.74
Edgewater,Entire home/apt,21,800.0,51,4.96
Near North Side,Entire home/apt,45,124.0,7,5.0
Hyde Park,Entire home/apt,35,302.0,61,5.0
Lake View,Entire home/apt,9,175.0,6,5.0
Avondale,Entire home/apt,33,116.0,47,4.85
South Chicago,Entire home/apt,120,364.0,62,4.97
Mckinley Park,Entire home/apt,41,92.0,42,4.76
Loop,Entire home/apt,51,113.0,0,
Logan Square,Entire home/apt,29,109.0,166,4.8
Near South Side,Entire home/apt,37,103.0,57,4.49
Near South Side,Entire home/apt,50,105.0,0,
Lower West Side,Entire home/apt,63,128.0,79,4.99
Logan Square,Entire home/apt,22,150.0,16,5.0
Albany Park,Private room,33,49.0,35,4.69
Rogers Park,Entire home/apt,41,89.0,3,5.0
Albany Park,Private room,32,42.0,24,4.96
Albany Park,Private room,33,42.0,33,4.73
Avondale,Entire home/apt,30,128.0,72,4.88
Loop,Entire home/apt,61,1125.0,4,5.0
Loop,Entire home/apt,61,1206.0,2,4.0
Albany Park,Entire home/apt,34,221.0,5,5.0
West Town,Entire home/apt,64,528.0,40,4.85
Rogers Park,Entire home/apt,30,64.0,64,4.66
West Town,Entire home/apt,64,385.0,66,4.79
Near North Side,Entire home/apt,69,128.0,0,
Near South Side,Entire home/apt,50,89.0,0,
Near South Side,Entire home/apt,50,100.0,1,5.0
Near South Side,Entire home/apt,50,100.0,1,5.0
Lincoln Square,Entire home/apt,21,188.0,6,5.0
Uptown,Entire home/apt,21,85.0,98,4.96
Avondale,Private room,38,50.0,6,5.0
Rogers Park,Entire home/apt,30,57.0,46,4.7
Hyde Park,Entire home/apt,46,128.0,84,4.9
Near North Side,Entire home/apt,40,298.0,0,
Rogers Park,Entire home/apt,41,98.0,6,4.0
West Town,Entire home/apt,43,177.0,82,4.85
Jefferson Park,Entire home/apt,7,158.0,49,4.78
Loop,Entire home/apt,48,146.0,68,4.43
Loop,Entire home/apt,64,103.0,2,5.0
West Town,Entire home/apt,48,81.0,6,5.0
Washington Park,Entire home/apt,127,119.0,62,4.82
Loop,Entire home/apt,51,120.0,1,5.0
Loop,Entire home/apt,51,120.0,0,
Near West Side,Entire home/apt,60,129.0,0,
Lincoln Park,Entire home/apt,10,147.0,77,4.73
Pullman,Entire home/apt,61,38.0,0,
West Town,Entire home/apt,44,630.0,62,4.92
Avondale,Entire home/apt,36,42.0,69,4.97
West Town,Entire home/apt,44,1056.0,2,5.0
West Town,Entire home/apt,39,200.0,7,5.0
West Town,Entire home/apt,44,1569.0,4,4.75
Lake View,Entire home/apt,11,100.0,104,4.95
West Town,Entire home/apt,64,1281.0,2,4.5
Bridgeport,Private room,45,32.0,90,4.57
Near South Side,Entire home/apt,51,111.0,0,
Logan Square,Entire home/apt,41,150.0,18,4.72
Near South Side,Entire home/apt,38,133.0,50,4.84
Near North Side,Entire home/apt,49,116.0,0,
Portage Park,Entire home/apt,14,102.0,84,4.95
Logan Square,Entire home/apt,50,89.0,121,4.89
Lower West Side,Entire home/apt,68,77.0,83,4.78
Near South Side,Entire home/apt,37,136.0,50,4.84
Woodlawn,Private room,144,39.0,3,5.0
West Ridge,Entire home/apt,20,117.0,57,4.89
Edgewater,Entire home/apt,18,89.0,11,4.91
Woodlawn,Entire home/apt,147,85.0,7,5.0
Near West Side,Entire home/apt,57,121.0,0,
Avondale,Entire home/apt,27,234.0,86,4.99
Jefferson Park,Entire home/apt,5,75.0,4,5.0
East Side,Private room,20,45.0,29,4.9
Grand Boulevard,Entire home/apt,126,216.0,1,5.0
Loop,Entire home/apt,45,240.0,0,
Logan Square,Entire home/apt,48,197.0,30,4.53
Near South Side,Entire home/apt,37,112.0,80,4.83
North Lawndale,Entire home/apt,312,150.0,10,4.9
Near North Side,Entire home/apt,57,309.0,2,5.0
West Town,Entire home/apt,43,272.0,10,5.0
Morgan Park,Entire home/apt,26,189.0,37,4.54
Grand Boulevard,Entire home/apt,109,109.0,103,4.91
Portage Park,Entire home/apt,24,383.0,55,4.76
West Ridge,Private room,41,33.0,32,4.88
Hermosa,Entire home/apt,42,110.0,79,4.95
Logan Square,Entire home/apt,91,221.0,22,5.0
North Center,Entire home/apt,14,125.0,70,4.71
Avondale,Entire home/apt,35,41.0,94,4.88
Belmont Cragin,Entire home/apt,40,54.0,64,4.36
Lincoln Park,Entire home/apt,6,80.0,65,4.62
West Ridge,Entire home/apt,23,73.0,47,4.53
West Ridge,Entire home/apt,24,117.0,63,4.33
Rogers Park,Entire home/apt,40,64.0,53,4.6
Lower West Side,Entire home/apt,75,85.0,83,4.89
Logan Square,Entire home/apt,37,40.0,1,5.0
West Town,Entire home/apt,44,1028.0,3,5.0
Lake View,Private room,8,57.0,93,4.89
Norwood Park,Private room,2,39.0,9,4.78
Lake View,Private room,8,68.0,87,4.91
Lake View,Private room,8,55.0,80,4.93
West Ridge,Entire home/apt,24,129.0,3,4.67
East Garfield Park,Entire home/apt,187,328.0,55,5.0
Lake View,Entire home/apt,8,127.0,72,4.89
Near West Side,Private room,60,50.0,7,4.14
Portage Park,Entire home/apt,26,111.0,11,4.73
Avondale,Entire home/apt,30,215.0,7,5.0
Near South Side,Entire home/apt,37,92.0,45,4.64
Lake View,Entire home/apt,17,663.0,36,4.92
Near South Side,Entire home/apt,37,193.0,72,4.6
Near West Side,Entire home/apt,64,80.0,110,4.55
West Town,Entire home/apt,26,2585.0,9,4.44
Armour Square,Private room,47,54.0,0,
West Ridge,Entire home/apt,20,150.0,22,4.55
Loop,Entire home/apt,48,97.0,0,
Near North Side,Entire home/apt,59,174.0,79,4.85
Pullman,Private room,63,24.0,0,
Albany Park,Entire home/apt,34,219.0,34,4.94
Near North Side,Entire home/apt,47,126.0,1,5.0
Near North Side,Entire home/apt,60,124.0,0,
Near South Side,Entire home/apt,38,206.0,54,4.85
East Garfield Park,Private room,377,44.0,46,4.78
West Town,Entire home/apt,42,126.0,51,4.98
Douglas,Entire home/apt,76,186.0,43,4.95
Lake View,Entire home/apt,8,151.0,64,4.97
Hermosa,Entire home/apt,61,314.0,29,5.0
Near South Side,Entire home/apt,36,139.0,46,4.52
Logan Square,Entire home/apt,35,106.0,88,4.72
Washington Park,Entire home/apt,134,43.0,63,4.62
Loop,Entire home/apt,48,95.0,0,
Loop,Entire home/apt,51,120.0,1,5.0
Portage Park,Entire home/apt,13,261.0,47,4.85
West Ridge,Entire home/apt,21,300.0,21,4.71
Near North Side,Entire home/apt,46,2321.0,7,5.0
Loop,Entire home/apt,64,124.0,2,3.5
Brighton Park,Entire home/apt,59,49.0,87,4.9
Loop,Private room,63,117.0,101,4.84
Lower West Side,Entire home/apt,62,105.0,115,4.84
Oakland,Entire home/apt,50,250.0,0,
Irving Park,Private room,24,106.0,0,
Grand Boulevard,Entire home/apt,111,457.0,44,4.77
Near North Side,Entire home/apt,46,194.0,0,
Uptown,Entire home/apt,18,82.0,94,4.78
Loop,Entire home/apt,51,120.0,1,5.0
Montclare,Entire home/apt,18,52.0,15,4.53
Near West Side,Entire home/apt,118,148.0,72,4.94
Near North Side,Entire home/apt,43,127.0,4,5.0
Near North Side,Entire home/apt,69,134.0,0,
Near North Side,Entire home/apt,60,127.0,0,
Near North Side,Entire home/apt,69,132.0,0,
Near North Side,Entire home/apt,56,188.0,1,5.0
Near North Side,Entire home/apt,60,120.0,0,
Near North Side,Entire home/apt,60,125.0,0,
Near North Side,Entire home/apt,60,124.0,0,
Edgewater,Entire home/apt,20,310.0,5,4.6
Near North Side,Entire home/apt,43,225.0,91,4.74
Lake View,Entire home/apt,9,214.0,29,4.97
Loop,Private room,60,117.0,21,4.57
Austin,Entire home/apt,358,319.0,0,
Near West Side,Entire home/apt,163,127.0,1,5.0
Lake View,Entire home/apt,9,128.0,30,4.73
Roseland,Entire home/apt,104,121.0,2,3.5
East Garfield Park,Entire home/apt,433,128.0,1,1.0
Rogers Park,Entire home/apt,41,90.0,41,4.78
Logan Square,Entire home/apt,48,183.0,0,
Near West Side,Entire home/apt,59,1451.0,4,5.0
Near West Side,Entire home/apt,59,1276.0,1,5.0
Greater Grand Crossing,Entire home/apt,246,310.0,0,
Logan Square,Entire home/apt,40,66.0,0,
Edgewater,Entire home/apt,24,130.0,120,4.79
Rogers Park,Entire home/apt,24,150.0,109,4.77
Near North Side,Entire home/apt,56,122.0,0,
Near North Side,Entire home/apt,56,187.0,0,
North Lawndale,Entire home/apt,289,187.0,9,4.67
Loop,Entire home/apt,51,120.0,1,5.0
West Elsdon,Private room,25,105.0,0,
Washington Park,Entire home/apt,137,122.0,6,5.0
Irving Park,Entire home/apt,32,61.0,45,4.71
Near North Side,Entire home/apt,60,124.0,3,3.33
Uptown,Entire home/apt,18,227.0,0,
Lower West Side,Entire home/apt,69,555.0,0,
Loop,Private room,62,117.0,94,4.74
Hyde Park,Private room,47,40.0,0,
Lower West Side,Entire home/apt,77,255.0,38,4.95
Near North Side,Entire home/apt,38,142.0,4,5.0
Logan Square,Private room,35,82.0,2,5.0
Logan Square,Private room,39,65.0,6,4.17
Logan Square,Entire home/apt,56,137.0,70,4.97
Loop,Private room,63,117.0,2,5.0
Loop,Private room,63,117.0,26,4.88
Loop,Private room,61,117.0,32,4.81
Loop,Private room,61,117.0,21,4.86
Lake View,Entire home/apt,20,97.0,35,4.49
Austin,Entire home/apt,229,88.0,15,4.4
Logan Square,Private room,54,60.0,33,4.7
Hyde Park,Entire home/apt,36,99.0,62,4.81
West Ridge,Entire home/apt,31,153.0,27,4.93
Near North Side,Entire home/apt,54,139.0,0,
Near North Side,Entire home/apt,60,118.0,1,5.0
Loop,Entire home/apt,64,120.0,0,
Hyde Park,Entire home/apt,36,149.0,69,4.84
West Town,Entire home/apt,44,149.0,89,4.89
West Pullman,Private room,161,97.0,4,5.0
Edgewater,Entire home/apt,24,153.0,129,4.98
North Park,Entire home/apt,28,124.0,25,4.92
Lincoln Park,Entire home/apt,29,161.0,62,4.85
Rogers Park,Entire home/apt,43,134.0,36,4.61
Lower West Side,Entire home/apt,68,112.0,16,4.69
Edgewater,Entire home/apt,21,125.0,31,4.97
Near South Side,Entire home/apt,38,206.0,53,4.62
Loop,Entire home/apt,46,623.0,4,4.25
Portage Park,Entire home/apt,25,92.0,118,4.85
Loop,Private room,61,117.0,39,4.74
Douglas,Entire home/apt,76,150.0,21,4.95
Near North Side,Entire home/apt,42,330.0,0,
Washington Park,Entire home/apt,137,151.0,45,4.78
Lake View,Entire home/apt,8,79.0,88,4.57
Lower West Side,Private room,77,39.0,19,4.89
Lower West Side,Private room,73,39.0,18,4.78
Loop,Private room,63,117.0,130,4.82
Near West Side,Private room,58,40.0,1,5.0
Near South Side,Entire home/apt,37,128.0,56,4.79
Near North Side,Entire home/apt,56,144.0,1,5.0
Lake View,Entire home/apt,16,285.0,48,4.81
Near North Side,Entire home/apt,35,210.0,5,5.0
Lake View,Entire home/apt,16,70.0,99,4.96
Norwood Park,Entire home/apt,2,99.0,70,4.87
Armour Square,Private room,43,32.0,86,4.6
Armour Square,Private room,43,35.0,74,4.51
Armour Square,Private room,42,39.0,84,4.4
Logan Square,Entire home/apt,48,93.0,0,
Austin,Entire home/apt,149,108.0,46,4.83
Near West Side,Entire home/apt,61,192.0,102,4.92
Near North Side,Entire home/apt,60,121.0,1,5.0
Lower West Side,Entire home/apt,70,148.0,49,4.94
West Garfield Park,Entire home/apt,404,103.0,40,4.63
Loop,Entire home/apt,64,95.0,0,
Rogers Park,Entire home/apt,30,64.0,50,4.48
West Town,Entire home/apt,44,857.0,1,5.0
Near North Side,Entire home/apt,56,147.0,0,
Near South Side,Entire home/apt,38,168.0,38,4.76
Douglas,Entire home/apt,63,690.0,7,5.0
Lake View,Entire home/apt,8,362.0,24,4.96
Near North Side,Entire home/apt,39,199.0,1,5.0
Near South Side,Entire home/apt,37,148.0,97,4.85
Near South Side,Entire home/apt,37,151.0,54,4.74
Near South Side,Entire home/apt,51,126.0,1,5.0
Albany Park,Entire home/apt,35,300.0,19,5.0
Near North Side,Entire home/apt,56,150.0,0,
Near North Side,Entire home/apt,56,146.0,0,
Near North Side,Entire home/apt,72,194.0,1,5.0
Lake View,Entire home/apt,17,190.0,50,4.84
Near South Side,Entire home/apt,37,101.0,28,4.79
Logan Square,Entire home/apt,66,285.0,28,4.57
Near South Side,Entire home/apt,39,118.0,77,4.66
Lower West Side,Private room,77,36.0,33,4.82
West Ridge,Private room,21,80.0,5,4.8
Woodlawn,Entire home/apt,161,92.0,2,4.5
Montclare,Entire home/apt,11,205.0,5,4.2
Avondale,Entire home/apt,30,114.0,66,4.98
East Garfield Park,Private room,178,68.0,36,4.78
Lincoln Park,Entire home/apt,31,470.0,88,4.94
Uptown,Entire home/apt,20,191.0,5,4.6
East Garfield Park,Private room,180,66.0,43,4.84
West Town,Entire home/apt,43,64.0,4,5.0
West Town,Entire home/apt,43,106.0,3,5.0
Logan Square,Entire home/apt,47,471.0,70,4.89
West Town,Entire home/apt,43,116.0,5,4.8
West Town,Entire home/apt,43,75.0,5,4.6
West Town,Entire home/apt,43,75.0,4,5.0
South Lawndale,Entire home/apt,161,184.0,31,4.48
Armour Square,Private room,42,34.0,73,4.52
Armour Square,Private room,42,35.0,68,4.65
Lake View,Entire home/apt,9,97.0,109,4.79
Logan Square,Entire home/apt,65,121.0,0,
Armour Square,Entire home/apt,61,350.0,42,4.98
Near West Side,Private room,165,39.0,2,5.0
West Town,Entire home/apt,39,850.0,11,5.0
Lake View,Entire home/apt,19,97.0,27,4.78
Grand Boulevard,Entire home/apt,99,90.0,8,4.75
Edgewater,Entire home/apt,17,105.0,2,5.0
Lake View,Entire home/apt,11,187.0,71,4.92
Woodlawn,Entire home/apt,127,100.0,27,4.93
West Town,Entire home/apt,143,96.0,9,4.89
Near North Side,Entire home/apt,35,279.0,2,5.0
Lincoln Square,Entire home/apt,17,203.0,102,4.92
Rogers Park,Entire home/apt,31,65.0,73,4.59
West Town,Entire home/apt,44,402.0,96,4.96
Rogers Park,Private room,34,100.0,26,5.0
Avondale,Entire home/apt,37,80.0,0,
Near South Side,Entire home/apt,37,111.0,33,4.82
West Lawn,Entire home/apt,32,135.0,2,4.5
Humboldt Park,Entire home/apt,272,56.0,54,4.67
Fuller Park,Entire home/apt,77,183.0,0,
Logan Square,Entire home/apt,47,150.0,44,4.91
Near North Side,Entire home/apt,72,172.0,1,5.0
Rogers Park,Entire home/apt,32,89.0,87,4.72
Edgewater,Entire home/apt,22,275.0,9,5.0
Bridgeport,Entire home/apt,24,94.0,60,4.9
Albany Park,Entire home/apt,34,149.0,13,4.85
Loop,Entire home/apt,60,166.0,1,5.0
Lake View,Entire home/apt,7,110.0,71,4.87
Grand Boulevard,Entire home/apt,98,140.0,34,4.5
North Center,Entire home/apt,13,135.0,28,4.82
Lake View,Entire home/apt,16,244.0,30,4.37
Albany Park,Entire home/apt,33,210.0,37,4.95
West Town,Entire home/apt,69,112.0,65,4.52
Lincoln Park,Entire home/apt,9,150.0,43,4.77
Lower West Side,Entire home/apt,69,91.0,62,4.92
East Garfield Park,Private room,334,43.0,21,4.52
Washington Park,Entire home/apt,151,105.0,37,4.86
Near South Side,Entire home/apt,50,82.0,0,
Grand Boulevard,Entire home/apt,107,200.0,17,4.71
Avondale,Entire home/apt,28,89.0,41,4.98
Logan Square,Private room,50,55.0,42,4.69
Logan Square,Private room,50,55.0,32,4.53
Lake View,Entire home/apt,8,436.0,38,4.97
South Shore,Entire home/apt,130,240.0,0,
Albany Park,Private room,34,65.0,14,4.86
Uptown,Private room,18,70.0,7,4.71
Near West Side,Entire home/apt,62,173.0,0,
Washington Heights,Entire home/apt,82,199.0,5,5.0
Near West Side,Entire home/apt,62,173.0,0,
Near West Side,Entire home/apt,62,203.0,0,
Near West Side,Entire home/apt,62,173.0,1,4.0
Near West Side,Entire home/apt,62,173.0,0,
Near West Side,Entire home/apt,62,203.0,0,
Jefferson Park,Entire home/apt,2,84.0,50,4.88
Near West Side,Entire home/apt,62,413.0,0,
Near West Side,Private room,62,285.0,0,
Portage Park,Entire home/apt,12,67.0,39,4.72
Loop,Entire home/apt,54,249.0,0,
Douglas,Entire home/apt,72,405.0,10,4.4
Near West Side,Entire home/apt,62,235.0,0,
Near West Side,Entire home/apt,62,203.0,1,4.0
Near West Side,Entire home/apt,62,203.0,0,
Near West Side,Entire home/apt,62,413.0,0,
Near West Side,Entire home/apt,62,285.0,1,5.0
Near West Side,Entire home/apt,62,285.0,0,
Near West Side,Entire home/apt,62,285.0,0,
Near West Side,Entire home/apt,62,235.0,0,
Near West Side,Entire home/apt,62,235.0,0,
Austin,Entire home/apt,225,68.0,12,4.75
Near West Side,Entire home/apt,62,235.0,0,
New City,Entire home/apt,142,225.0,16,4.94
Hyde Park,Entire home/apt,35,314.0,28,4.93
Loop,Entire home/apt,60,177.0,0,
Near North Side,Entire home/apt,54,138.0,0,
Uptown,Entire home/apt,21,256.0,101,4.99
Near West Side,Entire home/apt,41,428.0,39,4.97
Near North Side,Entire home/apt,53,159.0,0,
West Town,Entire home/apt,52,166.0,96,4.96
Edgewater,Entire home/apt,18,115.0,1,4.0
Logan Square,Entire home/apt,96,189.0,54,4.94
Near West Side,Entire home/apt,116,163.0,83,4.98
East Garfield Park,Private room,334,45.0,22,4.86
East Garfield Park,Private room,348,37.0,17,4.88
East Garfield Park,Private room,349,44.0,12,5.0
East Garfield Park,Private room,334,43.0,19,4.84
East Garfield Park,Private room,347,37.0,17,4.88
Woodlawn,Entire home/apt,169,110.0,0,
Humboldt Park,Entire home/apt,124,216.0,63,4.98
Bridgeport,Entire home/apt,40,77.0,15,4.93
Bridgeport,Entire home/apt,33,61.0,1,5.0
Loop,Entire home/apt,51,104.0,81,4.65
Bridgeport,Entire home/apt,52,107.0,88,4.97
Near West Side,Entire home/apt,116,148.0,119,4.99
Avondale,Entire home/apt,29,366.0,50,4.64
West Englewood,Entire home/apt,250,163.0,61,4.44
West Town,Entire home/apt,40,231.0,14,4.79
Roseland,Entire home/apt,125,266.0,21,4.67
Logan Square,Entire home/apt,41,132.0,89,4.88
Near North Side,Entire home/apt,65,173.0,103,4.6
Norwood Park,Entire home/apt,1,174.0,46,4.96
Loop,Entire home/apt,48,322.0,56,4.95
Oakland,Entire home/apt,70,116.0,30,4.9
Loop,Entire home/apt,49,261.0,60,4.88
Loop,Entire home/apt,48,682.0,13,4.85
Douglas,Entire home/apt,73,209.0,12,4.83
Washington Heights,Entire home/apt,60,246.0,8,4.5
Near North Side,Entire home/apt,63,137.0,33,4.82
Logan Square,Entire home/apt,30,125.0,82,5.0
Lower West Side,Entire home/apt,68,118.0,29,4.83
Near South Side,Entire home/apt,50,166.0,70,4.9
Near South Side,Entire home/apt,52,150.0,80,4.9
Albany Park,Entire home/apt,30,166.0,20,4.95
East Garfield Park,Entire home/apt,213,335.0,60,4.93
Chatham,Entire home/apt,194,199.0,0,
Near West Side,Entire home/apt,50,245.0,28,4.43
Near West Side,Entire home/apt,53,201.0,349,4.55
Near West Side,Entire home/apt,49,198.0,236,4.72
Lake View,Entire home/apt,7,140.0,0,
Near North Side,Entire home/apt,63,131.0,77,4.94
Lake View,Entire home/apt,8,289.0,33,4.79
North Center,Entire home/apt,17,143.0,67,4.87
Loop,Entire home/apt,60,161.0,1,5.0
Loop,Entire home/apt,60,148.0,0,
Woodlawn,Private room,184,63.0,21,4.67
Near North Side,Entire home/apt,45,316.0,0,
Irving Park,Entire home/apt,25,521.0,2,5.0
Near North Side,Entire home/apt,44,227.0,2,5.0
Belmont Cragin,Private room,56,73.0,27,4.56
Loop,Entire home/apt,59,132.0,0,
