neighbourhood_cleansed,room_type,crime_count,price,number_of_reviews,review_scores_rating 
Logan Square,Entire home/apt,38,55.0,70,4.69
Lincoln Park,Entire home/apt,17,236.0,82,4.72
West Town,Entire home/apt,144,85.0,286,4.95
Near North Side,Entire home/apt,67,160.0,1,5.0
Lake View,Entire home/apt,8,189.0,110,4.94
Irving Park,Private room,30,44.0,35,4.91
Near West Side,Entire home/apt,63,199.0,44,4.95
Logan Square,Entire home/apt,49,197.0,140,4.91
Near South Side,Entire home/apt,47,140.0,351,4.86
North Center,Entire home/apt,13,141.0,401,4.9
Near North Side,Entire home/apt,55,298.0,282,4.89
Lake View,Entire home/apt,9,133.0,575,4.75
West Town,Entire home/apt,85,99.0,315,4.74
West Town,Entire home/apt,48,177.0,257,4.88
Logan Square,Entire home/apt,40,264.0,253,4.96
Logan Square,Entire home/apt,48,218.0,148,4.98
East Garfield Park,Private room,379,33.0,483,4.78
Greater Grand Crossing,Private room,227,39.0,47,4.74
Near West Side,Entire home/apt,188,97.0,483,4.84
East Garfield Park,Private room,379,32.0,504,4.84
Logan Square,Private room,41,50.0,140,4.83
Lincoln Park,Entire home/apt,7,84.0,288,4.8
East Garfield Park,Private room,379,34.0,468,4.81
West Town,Private room,85,78.0,311,4.99
Logan Square,Entire home/apt,19,104.0,163,4.56
North Center,Entire home/apt,13,125.0,37,4.46
North Center,Entire home/apt,13,121.0,43,4.63
Lincoln Square,Private room,17,55.0,283,4.96
Lincoln Park,Private room,6,46.0,205,4.7
Lake View,Entire home/apt,8,1271.0,44,4.95
Norwood Park,Entire home/apt,4,125.0,67,5.0
Humboldt Park,Entire home/apt,154,277.0,112,4.97
Lincoln Square,Entire home/apt,21,75.0,211,4.94
Near North Side,Entire home/apt,35,150.0,15,4.8
Rogers Park,Shared room,40,34.0,3,4.33
West Town,Private room,38,95.0,79,4.85
Lincoln Park,Private room,6,47.0,237,4.73
Hermosa,Entire home/apt,49,80.0,423,4.87
Uptown,Entire home/apt,18,94.0,500,4.9
South Lawndale,Entire home/apt,161,100.0,187,4.92
West Town,Private room,54,65.0,0,
Lower West Side,Entire home/apt,90,73.0,633,4.79
Lake View,Shared room,11,29.0,152,4.84
Woodlawn,Entire home/apt,149,307.0,7,5.0
Greater Grand Crossing,Private room,227,39.0,52,4.69
Greater Grand Crossing,Private room,220,39.0,47,4.81
Greater Grand Crossing,Private room,227,39.0,37,4.59
Edgewater,Private room,12,49.0,13,5.0
Edgewater,Private room,13,44.0,30,4.93
West Town,Entire home/apt,38,132.0,393,4.86
Logan Square,Entire home/apt,92,69.0,790,4.84
Lake View,Entire home/apt,11,100.0,420,4.8
Logan Square,Entire home/apt,68,90.0,475,4.74
Lincoln Park,Entire home/apt,30,486.0,339,4.96
Near West Side,Private room,150,65.0,30,4.97
Near North Side,Entire home/apt,54,121.0,44,4.93
Woodlawn,Entire home/apt,168,72.0,3,5.0
Humboldt Park,Entire home/apt,352,71.0,132,4.84
Lake View,Private room,8,121.0,89,4.91
Oakland,Private room,63,50.0,128,4.88
West Town,Private room,42,80.0,319,4.93
West Town,Entire home/apt,134,307.0,181,4.9
North Center,Entire home/apt,21,115.0,290,4.91
Edgewater,Private room,18,82.0,270,4.96
