latitude,longitude,neighbourhood_cleansed,property_type,room_type,review_scores_rating,accommodates,bedrooms,beds,price,rating_bucket
41.85351893388901,-87.62548244598182,Near South Side,Entire rental unit,Entire home/apt,4.87,8,2.0,3.0,143.0,4.8-4.9
41.8925035,-87.61628259999999,Near North Side,Entire rental unit,Entire home/apt,2.5,2,1.0,1.0,101.0,2.0-3.0
41.904109144992674,-87.69520316407976,West Town,Entire rental unit,Entire home/apt,4.7,4,2.0,3.0,118.0,4.6-4.7
41.9179845,-87.6803709,Logan Square,Entire rental unit,Entire home/apt,4.9,3,2.0,2.0,165.0,4.8-4.9
41.95144,-87.65593,Lake View,Entire condo,Entire home/apt,4.97,6,3.0,5.0,199.0,4.9-5.0
41.8913478,-87.6373584,Near North Side,Entire serviced apartment,Entire home/apt,4.0,4,1.0,2.0,172.0,3.5-4.0
42.01550579371808,-87.6669511508238,Rogers Park,Entire condo,Entire home/apt,4.96,4,1.0,2.0,156.0,4.9-5.0
41.88982884042968,-87.68325641717739,West Town,Entire condo,Entire home/apt,4.93,6,3.0,4.0,98.0,4.9-5.0
41.90753166,-87.6671866,West Town,Private room in rental unit,Private room,4.6,2,1.0,2.0,59.0,4.5-4.6
41.89837196951179,-87.67080949991659,West Town,Entire rental unit,Entire home/apt,4.65,2,1.0,1.0,103.0,4.6-4.7
41.906905776245715,-87.66795048111732,West Town,Private room in rental unit,Private room,4.8,3,1.0,2.0,67.0,4.7-4.8
41.9950771,-87.662024,Edgewater,Entire rental unit,Entire home/apt,4.86,12,4.0,6.0,196.0,4.8-4.9
41.9839704,-87.655453,Edgewater,Entire rental unit,Entire home/apt,3.0,2,1.0,1.0,117.0,2.0-3.0
42.0127382,-87.68175099999999,Rogers Park,Entire rental unit,Entire home/apt,4.61,4,2.0,2.0,89.0,4.6-4.7
42.0157737,-87.66467519999999,Rogers Park,Entire rental unit,Entire home/apt,4.61,2,1.0,1.0,92.0,4.6-4.7
41.9554629,-87.6468967,Uptown,Entire rental unit,Entire home/apt,5.0,6,3.0,3.0,170.0,4.9-5.0
41.91438784599347,-87.68799316138029,Logan Square,Entire rental unit,Entire home/apt,4.96,2,1.0,1.0,100.0,4.9-5.0
41.931786762907514,-87.65362064315966,Lincoln Park,Entire home,Entire home/apt,4.87,14,4.0,9.0,251.0,4.8-4.9
41.98031,-87.67237,Edgewater,Private room in condo,Private room,5.0,1,1.0,1.0,82.0,4.9-5.0
41.77195,-87.5709,South Shore,Entire home,Entire home/apt,4.62,9,4.0,5.0,230.0,4.6-4.7
41.91158,-87.70685,Humboldt Park,Entire rental unit,Entire home/apt,4.6,10,4.0,5.0,100.0,4.5-4.6
41.89211,-87.63203,Near North Side,Room in hotel,Hotel room,4.0,2,1.0,1.0,129.0,3.5-4.0
41.89211,-87.63203,Near North Side,Room in hotel,Hotel room,4.18,2,1.0,1.0,129.0,4.0-4.25
41.89211,-87.63203,Near North Side,Room in hotel,Hotel room,4.43,2,1.0,1.0,129.0,4.25-4.5
41.89211,-87.63203,Near North Side,Room in hotel,Hotel room,4.7,4,1.0,2.0,143.0,4.6-4.7
41.89211,-87.63203,Near North Side,Room in hotel,Hotel room,4.24,4,1.0,2.0,143.0,4.0-4.25
41.89211,-87.63203,Near North Side,Room in hotel,Hotel room,4.0,8,2.0,4.0,284.0,3.5-4.0
41.89211,-87.63203,Near North Side,Room in hotel,Hotel room,3.8,8,2.0,4.0,284.0,3.5-4.0
41.89211,-87.63203,Near North Side,Room in hotel,Hotel room,4.2,8,2.0,4.0,284.0,4.0-4.25
41.89211,-87.63203,Near North Side,Room in hotel,Hotel room,,12,3.0,6.0,427.0,No rating
41.89211,-87.63203,Near North Side,Room in hotel,Hotel room,5.0,12,3.0,6.0,427.0,4.9-5.0
41.89211,-87.63203,Near North Side,Room in hotel,Hotel room,4.47,12,3.0,6.0,427.0,4.25-4.5
41.89211,-87.63203,Near North Side,Room in hotel,Hotel room,,16,4.0,8.0,569.0,No rating
41.89211,-87.63203,Near North Side,Room in hotel,Hotel room,5.0,16,4.0,8.0,569.0,4.9-5.0
41.89211,-87.63203,Near North Side,Room in hotel,Hotel room,,16,4.0,8.0,569.0,No rating
41.955246506492344,-87.6473316992785,Uptown,Entire home,Entire home/apt,,2,1.0,1.0,83.0,No rating
41.80537,-87.61957,Grand Boulevard,Entire rental unit,Entire home/apt,4.94,8,4.0,5.0,284.0,4.9-5.0
41.80751,-87.611766,Grand Boulevard,Entire rental unit,Entire home/apt,4.91,6,3.0,3.0,275.0,4.9-5.0
41.9032387,-87.63486329999999,Near North Side,Entire rental unit,Entire home/apt,,4,0.0,1.0,181.0,No rating
41.96666116303286,-87.69387925226195,Lincoln Square,Entire rental unit,Entire home/apt,,4,2.0,2.0,90.0,No rating
