,id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location
32,14033992,JJ495578,2025-11-19T23:05:00.000,005XX W 116TH ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,True,False,524,5,21,53,15,1174851.0,1827974.0,2025,2025-11-27T15:41:26.000,41.683343031,-87.635562344,"
,  
(41.683343031, -87.635562344)"
33,14034596,JJ496354,2025-11-19T23:00:00.000,003XX W 63RD ST,0460,BATTERY,SIMPLE,HOSPITAL BUILDING / GROUNDS,False,False,711,7,20,68,08B,1175009.0,1863172.0,2025,2025-11-27T15:41:26.000,41.779927491,-87.633936984,"
,  
(41.779927491, -87.633936984)"
34,14034088,JJ495661,2025-11-19T23:00:00.000,007XX E 87TH ST,0610,BURGLARY,FORCIBLE ENTRY,COMMERCIAL / BUSINESS OFFICE,False,False,632,6,8,44,05,1182746.0,1847459.0,2025,2025-11-27T15:41:26.000,41.736633224,-87.606059308,"
,  
(41.736633224, -87.606059308)"
35,14035176,JJ497108,2025-11-19T22:48:00.000,045XX S EVANS AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,True,221,2,4,38,08A,1181912.0,1875082.0,2025,2025-11-27T15:41:26.000,41.812452701,-87.608261545,"
,  
(41.812452701, -87.608261545)"
36,14034007,JJ495576,2025-11-19T22:45:00.000,043XX N KEDVALE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,1722,17,39,16,14,1148069.0,1928552.0,2025,2025-11-27T15:41:26.000,41.95989682,-87.731021915,"
,  
(41.95989682, -87.731021915)"
37,14034031,JJ495579,2025-11-19T22:44:00.000,034XX E 134TH ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,SIDEWALK,True,False,433,4,10,55,15,1200843.0,1816721.0,2025,2025-11-27T15:41:26.000,41.651846557,-87.540795325,"
,  
(41.651846557, -87.540795325)"
38,14033991,JJ495569,2025-11-19T22:40:00.000,051XX N LOVEJOY AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,1623,16,45,11,08B,1138781.0,1933734.0,2025,2025-11-27T15:41:26.000,41.974290756,-87.76504296,"
,  
(41.974290756, -87.76504296)"
39,14033996,JJ495560,2025-11-19T22:37:00.000,057XX W BELMONT AVE,1812,NARCOTICS,POSSESS - CANNABIS MORE THAN 30 GRAMS,STREET,True,False,2514,25,30,19,18,1137704.0,1920698.0,2025,2025-11-27T15:41:26.000,41.938538258,-87.769318963,"
,  
(41.938538258, -87.769318963)"
40,14033990,JJ495586,2025-11-19T22:30:00.000,009XX W BUENA AVE,0810,THEFT,OVER $500,BAR OR TAVERN,False,False,1915,19,46,3,06,1169153.0,1928179.0,2025,2025-11-27T15:41:26.000,41.958440465,-87.653518467,"
,  
(41.958440465, -87.653518467)"
41,14034013,JJ495573,2025-11-19T22:27:00.000,010XX N CENTRAL AVE,1330,CRIMINAL TRESPASS,TO LAND,RESIDENCE - YARD (FRONT / BACK),False,False,1511,15,29,25,26,1138819.0,1906535.0,2025,2025-11-27T15:41:26.000,41.899653196,-87.765565634,"
,  
(41.899653196, -87.765565634)"
42,14040194,JJ503000,2025-11-19T22:26:00.000,049XX W FLETCHER ST,1752,OFFENSE INVOLVING CHILDREN,AGGRAVATED CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,RESIDENCE,False,True,2521,25,31,19,17,,,2025,2025-11-27T15:41:26.000,,,
43,14035089,JJ495965,2025-11-19T22:21:00.000,068XX N SHERIDAN RD,1310,CRIMINAL DAMAGE,TO PROPERTY,RESTAURANT,False,False,2431,24,49,1,14,1166963.0,1945521.0,2025,2025-11-27T15:41:26.000,42.006074785,-87.66106929,"
,  
(42.006074785, -87.66106929)"
44,14034067,JJ495558,2025-11-19T22:17:00.000,048XX S DREXEL BLVD,0820,THEFT,$500 AND UNDER,APARTMENT,False,True,223,2,4,39,06,1183004.0,1873073.0,2025,2025-11-27T15:41:26.000,41.806914497,-87.604318647,"
,  
(41.806914497, -87.604318647)"
45,14034408,JJ495996,2025-11-19T22:16:00.000,077XX S VERNON AVE,0820,THEFT,$500 AND UNDER,STREET,False,False,624,6,6,69,06,1180584.0,1853796.0,2025,2025-11-27T15:41:26.000,41.754072534,-87.613785965,"
,  
(41.754072534, -87.613785965)"
46,14033980,JJ495557,2025-11-19T22:15:00.000,003XX E 77TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,True,623,6,6,69,14,1179625.0,1854025.0,2025,2025-11-27T15:41:26.000,41.754722891,-87.617293368,"
,  
(41.754722891, -87.617293368)"
47,14035775,JJ497826,2025-11-19T22:10:00.000,091XX S HARPER AVE,1330,CRIMINAL TRESPASS,TO LAND,RESIDENCE,False,True,413,4,8,48,26,1188043.0,1844680.0,2025,2025-11-27T15:41:26.000,41.72888289,-87.586741391,"
,  
(41.72888289, -87.586741391)"
48,14034073,JJ495556,2025-11-19T22:08:00.000,010XX N LECLAIRE AVE,0530,ASSAULT,AGGRAVATED - OTHER DANGEROUS WEAPON,RESIDENCE,False,True,1531,15,37,25,04A,1142171.0,1906419.0,2025,2025-11-27T15:41:26.000,41.899273344,-87.753256446,"
,  
(41.899273344, -87.753256446)"
49,14034032,JJ495627,2025-11-19T22:03:00.000,024XX N PULASKI RD,2020,NARCOTICS,POSSESS - AMPHETAMINES,STREET,True,False,2524,25,31,22,18,1149306.0,1916021.0,2025,2025-11-27T15:41:26.000,41.925486783,-87.72680008,"
,  
(41.925486783, -87.72680008)"
50,14034200,JJ495784,2025-11-19T22:00:00.000,113XX S PRAIRIE AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,531,5,9,49,07,1179934.0,1829869.0,2025,2025-11-27T15:41:26.000,41.688428706,-87.616897688,"
,  
(41.688428706, -87.616897688)"
51,14034857,JJ495947,2025-11-19T22:00:00.000,002XX E RANDOLPH ST,0810,THEFT,OVER $500,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,114,1,42,32,06,1177923.0,1901223.0,2025,2025-11-27T15:41:26.000,41.884276844,-87.622098929,"
,  
(41.884276844, -87.622098929)"
52,14035108,JJ495692,2025-11-19T22:00:00.000,021XX S RACINE AVE,0920,MOTOR VEHICLE THEFT,ATTEMPT - AUTOMOBILE,STREET,False,False,1235,12,25,31,07,1168704.0,1889824.0,2025,2025-11-27T15:41:26.000,41.85320176,-87.656282099,"
,  
(41.85320176, -87.656282099)"
53,14034087,JJ495568,2025-11-19T22:00:00.000,048XX N WINTHROP AVE,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,False,False,2024,20,46,3,05,1167995.0,1932458.0,2025,2025-11-27T15:41:26.000,41.970207317,-87.657651632,"
,  
(41.970207317, -87.657651632)"
54,14034306,JJ495993,2025-11-19T22:00:00.000,027XX N SAYRE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,2512,25,29,18,14,1129122.0,1917367.0,2025,2025-11-27T15:41:26.000,41.929548199,-87.800936449,"
,  
(41.929548199, -87.800936449)"
55,14034010,JJ495587,2025-11-19T22:00:00.000,091XX S BLACKSTONE AVE,1365,CRIMINAL TRESPASS,TO RESIDENCE,RESIDENCE,True,False,413,4,8,48,26,1187711.0,1844665.0,2025,2025-11-27T15:41:26.000,41.728849624,-87.587958044,"
,  
(41.728849624, -87.587958044)"
56,14036592,JJ498731,2025-11-19T22:00:00.000,017XX E 67TH ST,0460,BATTERY,SIMPLE,RESIDENCE - PORCH / HALLWAY,False,False,332,3,5,43,08B,1189123.0,1860905.0,2025,2025-11-27T15:41:26.000,41.773380002,-87.582266321,"
,  
(41.773380002, -87.582266321)"
57,14034379,JJ495750,2025-11-19T22:00:00.000,076XX S VERNON AVE,0820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,False,False,624,6,6,69,06,1180568.0,1854432.0,2025,2025-11-27T15:41:26.000,41.755818154,-87.613825106,"
,  
(41.755818154, -87.613825106)"
58,14035766,JJ497753,2025-11-19T22:00:00.000,059XX N RAVENSWOOD AVE,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,False,False,2012,20,40,77,05,1163314.0,1939392.0,2025,2025-11-27T15:41:26.000,41.989334479,-87.674667806,"
,  
(41.989334479, -87.674667806)"
59,14034082,JJ495537,2025-11-19T22:00:00.000,014XX S HARDING AVE,0930,MOTOR VEHICLE THEFT,THEFT / RECOVERY - AUTOMOBILE,STREET,False,False,1011,10,24,29,07,1150277.0,1892913.0,2025,2025-11-27T15:41:26.000,41.862057136,-87.723835304,"
,  
(41.862057136, -87.723835304)"
60,14034040,JJ495553,2025-11-19T22:00:00.000,088XX S LAFLIN ST,0454,BATTERY,"AGGRAVATED P.O. - HANDS, FISTS, FEET, NO / MINOR INJURY",RESIDENCE,True,False,2221,22,21,71,08B,1167880.0,1846122.0,2025,2025-11-27T15:41:26.000,41.733296124,-87.66056171,"
,  
(41.733296124, -87.66056171)"
61,14033961,JJ495544,2025-11-19T21:56:00.000,049XX W KAMERLING AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,2533,25,37,25,08B,1143215.0,1908528.0,2025,2025-11-27T15:41:26.000,41.905041243,-87.749369077,"
,  
(41.905041243, -87.749369077)"
62,14033975,JJ495562,2025-11-19T21:45:00.000,035XX N CLAREMONT AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE - GARAGE,False,False,1921,19,32,5,14,1160078.0,1923433.0,2025,2025-11-27T15:41:26.000,41.945609881,-87.687013115,"
,  
(41.945609881, -87.687013115)"
63,14038767,JJ495533,2025-11-19T21:44:00.000,056XX S PARKSIDE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,811,8,13,56,08B,1139667.0,1866584.0,2025,2025-11-27T15:41:26.000,41.790006357,-87.763424646,"
,  
(41.790006357, -87.763424646)"
64,14034173,JJ495811,2025-11-19T21:42:00.000,099XX S HARPER AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,ALLEY,False,False,511,5,8,50,04A,1187816.0,1839434.0,2025,2025-11-27T15:41:26.000,41.714492695,-87.58773937,"
,  
(41.714492695, -87.58773937)"
65,14034017,JJ495585,2025-11-19T21:42:00.000,013XX N MENARD AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,True,True,2531,25,29,25,15,1137437.0,1908347.0,2025,2025-11-27T15:41:26.000,41.904650532,-87.770598144,"
,  
(41.904650532, -87.770598144)"
66,14033970,JJ495531,2025-11-19T21:40:00.000,009XX W WILSON AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,True,False,1914,19,46,3,14,1169089.0,1930732.0,2025,2025-11-27T15:41:26.000,41.965447374,-87.653679307,"
,  
(41.965447374, -87.653679307)"
67,14034925,JJ496738,2025-11-19T21:32:00.000,082XX S EXCHANGE AVE,0560,ASSAULT,SIMPLE,RESIDENCE,False,True,424,4,7,46,08A,1197256.0,1850952.0,2025,2025-11-27T15:41:26.000,41.745869517,-87.552784306,"
,  
(41.745869517, -87.552784306)"
68,14033921,JJ495521,2025-11-19T21:32:00.000,004XX W 66TH PL,0920,MOTOR VEHICLE THEFT,ATTEMPT - AUTOMOBILE,STREET,False,False,722,7,6,68,07,1174578.0,1860840.0,2025,2025-11-27T15:41:26.000,41.773537832,-87.635586451,"
,  
(41.773537832, -87.635586451)"
69,14034093,JJ495680,2025-11-19T21:30:00.000,087XX S JUSTINE ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,2221,22,18,71,07,1167531.0,1846707.0,2025,2025-11-27T15:41:26.000,41.734908929,-87.661823548,"
,  
(41.734908929, -87.661823548)"
70,14033962,JJ495520,2025-11-19T21:18:00.000,049XX W HUBBARD ST,1310,CRIMINAL DAMAGE,TO PROPERTY,SIDEWALK,False,False,1532,15,37,25,14,1143338.0,1902559.0,2025,2025-11-27T15:41:26.000,41.888659323,-87.749066571,"
,  
(41.888659323, -87.749066571)"
71,14033935,JJ495516,2025-11-19T21:09:00.000,095XX S COMMERCIAL AVE,1330,CRIMINAL TRESPASS,TO LAND,STREET,True,False,431,4,10,51,26,1197802.0,1842310.0,2025,2025-11-27T15:41:26.000,41.722141573,-87.551071504,"
,  
(41.722141573, -87.551071504)"
72,14034834,JJ495943,2025-11-19T21:00:00.000,034XX W LYNDALE ST,0710,THEFT,THEFT FROM MOTOR VEHICLE,ALLEY,False,False,1413,14,35,22,06,1153158.0,1914746.0,2025,2025-11-27T15:41:26.000,41.921912436,-87.712679792,"
,  
(41.921912436, -87.712679792)"
