latitude,longitude,property_type,room_type,review_scores_rating,accommodates,bedrooms,beds,price
41.989787712676325,-87.69612154357498,Entire rental unit,Entire home/apt,,6,0.0,2.0,275.0
41.96713498654895,-87.6576108112775,Entire home,Entire home/apt,5.0,6,2.0,2.0,300.0
41.783509356881254,-87.65169734965174,Entire guesthouse,Entire home/apt,4.0,4,2.0,2.0,104.0
41.95293909999999,-87.7277433,Entire rental unit,Entire home/apt,5.0,2,1.0,1.0,59.0
41.88239,-87.65723,Entire rental unit,Entire home/apt,,8,4.0,5.0,444.0
41.95689,-87.64999,Entire rental unit,Entire home/apt,4.8,3,0.0,1.0,68.0
41.84087,-87.65247,Private room in home,Private room,3.83,2,1.0,1.0,33.0
41.9902115,-87.69510919999999,Entire rental unit,Entire home/apt,,2,0.0,3.0,175.0
41.901753235290485,-87.63243774052172,Entire rental unit,Entire home/apt,,2,0.0,1.0,88.0
41.93068,-87.64164,Entire rental unit,Entire home/apt,5.0,4,2.0,2.0,135.0
41.83279,-87.6725,Private room in home,Private room,4.14,2,1.0,1.0,29.0
41.83099796229143,-87.6711110742549,Private room in home,Private room,4.17,2,1.0,1.0,29.0
41.9268,-87.76008,Entire rental unit,Entire home/apt,,12,6.0,9.0,528.0
41.95634780351224,-87.7760796806385,Private room in home,Private room,,2,1.0,2.0,53.0
41.90018181125725,-87.62724599678239,Entire rental unit,Entire home/apt,,2,1.0,1.0,303.0
41.90227405605965,-87.63427315423085,Entire rental unit,Entire home/apt,,2,0.0,1.0,119.0
41.72223221866676,-87.67314342412791,Entire rental unit,Entire home/apt,4.83,8,4.0,4.0,296.0
42.00128107473042,-87.69438928909851,Entire home,Entire home/apt,,10,5.0,5.0,350.0
42.01935708335374,-87.68034436556944,Private room in rental unit,Private room,5.0,2,1.0,2.0,80.0
41.8201076,-87.6123453,Entire rental unit,Entire home/apt,5.0,4,2.0,3.0,147.0
41.90926,-87.66955,Entire condo,Entire home/apt,4.85,3,1.0,1.0,135.0
41.783620597063,-87.60198255475471,Private room in bed and breakfast,Private room,5.0,2,1.0,1.0,73.0
41.85163,-87.63702,Entire rental unit,Entire home/apt,4.67,6,3.0,3.0,138.0
41.93591,-87.66479,Entire rental unit,Entire home/apt,4.93,4,2.0,2.0,246.0
41.874125286295325,-87.728856499091,Private room in home,Private room,4.8,1,3.0,1.0,23.0
41.88678,-87.62054,Entire rental unit,Entire home/apt,5.0,4,1.0,1.0,150.0
41.88285,-87.64282,Entire rental unit,Entire home/apt,,2,1.0,2.0,79.0
41.91934,-87.7154,Entire rental unit,Entire home/apt,,4,2.0,2.0,158.0
41.88197115439531,-87.68335151219004,Entire rental unit,Entire home/apt,4.38,3,1.0,1.0,100.0
41.89507770730137,-87.65758062571695,Entire home,Entire home/apt,5.0,10,3.0,6.0,326.0
41.78101,-87.61036,Entire condo,Entire home/apt,5.0,9,3.0,3.0,169.0
41.85740394512295,-87.64628420226866,Entire condo,Entire home/apt,,6,3.0,3.0,205.0
41.87298,-87.62718,Entire rental unit,Entire home/apt,4.72,2,0.0,1.0,160.0
41.90744,-87.63414,Entire rental unit,Entire home/apt,4.88,12,4.0,4.0,676.0
41.890585640198054,-87.63035257550325,Entire rental unit,Entire home/apt,,2,1.0,1.0,249.0
41.94841,-87.65431,Entire condo,Entire home/apt,4.83,6,3.0,4.0,108.0
41.9417677,-87.6659598,Entire rental unit,Entire home/apt,4.96,5,2.0,3.0,208.0
